run_id,learning_rate,depth,l2_leaf_reg,subsample,colsample_bylevel,bagging_temperature,random_strength,seed,model_path,features,accuracy,auc,metric,time,best_param
45,0.01,6,5,1.0,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
46,0.01,6,5,1.0,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
47,0.01,6,5,1.0,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
48,0.01,6,5,1.0,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
49,0.01,8,1,0.8,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
50,0.01,8,1,0.8,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
51,0.01,8,1,0.8,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
52,0.01,8,1,0.8,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
53,0.01,8,1,0.8,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
54,0.01,8,1,0.8,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
55,0.01,8,1,0.8,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
56,0.01,8,1,0.8,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
57,0.01,8,1,1.0,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
58,0.01,8,1,1.0,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
59,0.01,8,1,1.0,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
60,0.01,8,1,1.0,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
61,0.01,8,1,1.0,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
62,0.01,8,1,1.0,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
63,0.01,8,1,1.0,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
64,0.01,8,1,1.0,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
65,0.01,8,3,0.8,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
66,0.01,8,3,0.8,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
67,0.01,8,3,0.8,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
68,0.01,8,3,0.8,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
69,0.01,8,3,0.8,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
70,0.01,8,3,0.8,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
71,0.01,8,3,0.8,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
72,0.01,8,3,0.8,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
73,0.01,8,3,1.0,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
74,0.01,8,3,1.0,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
75,0.01,8,3,1.0,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
76,0.01,8,3,1.0,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
77,0.01,8,3,1.0,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
78,0.01,8,3,1.0,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
79,0.01,8,3,1.0,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
80,0.01,8,3,1.0,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l23.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
81,0.01,8,5,0.8,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
82,0.01,8,5,0.8,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
83,0.01,8,5,0.8,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
84,0.01,8,5,0.8,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
85,0.01,8,5,0.8,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:28,{}
86,0.01,8,5,0.8,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
87,0.01,8,5,0.8,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
88,0.01,8,5,0.8,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
89,0.01,8,5,1.0,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
90,0.01,8,5,1.0,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
91,0.01,8,5,1.0,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
